Data do Crime;RA;# Casos;Meio Utilizado;Local;Motivação;Idade - Vítima;Idade - Autor
09/05/2019;TAGUATINGA;1;Arma Branca;Interior de Residência;Ciúme;29;36
06/05/2019;SANTA MARIA;1;Arma Branca;Interior de Residência;Ciúme;39;41
25/04/2019;SOBRADINHO;1;Outro;Interior de Residência;Término Relacionamento;47;55
21/04/2019;GAMA;1;Arma Branca;Interior de Residência;Ciúme;49;47
14/04/2019;SOBRADINHO II;1;Arma Branca;Interior de Residência;Ciúme;28;20
31/03/2019;PARANOÁ;1;Arma de Fogo;Interior de Residência;Término Relacionamento;25;22
19/03/2019;ITAPOÃ;1;Arma Branca;Interior de Residência;Ciúme;52;40
11/03/2019;SOBRADINHO;1;Arma Branca;Interior de Residência;Ciúme;45;35
30/01/2019;PLANO PILOTO;1;Arma Branca;Interior de Residência;Término Relacionamento;55;80
28/01/2019;PLANO PILOTO;1;Arma de Fogo;Interior de Residência;Ciúme;69;72
25/12/2018;SCIA E ESTRUTURAL;1;Arma Branca;Ruas, praças, estacionamentos;Término Relacionamento;22;21
10/12/2018;CEILÂNDIA;1;Arma Branca;Interior de Residência;Ciúme;26;23
05/11/2018;RECANTO DAS EMAS;1;Arma Branca;Interior de Residência;Ciúme;49;33
22/10/2018;SOBRADINHO II;1;Arma Branca;Interior de Residência;Ciúme;45;41
13/10/2018;RECANTO DAS EMAS;1;Arma Branca;Interior de Residência;Ciúme;45;61
10/10/2018;ITAPOÃ;1;Arma Branca;Interior de Residência;Término Relacionamento;44;60
03/09/2018;SANTA MARIA;1;Arma Branca;Interior de Residência;Ciúme;26;40
26/08/2018;ITAPOÃ;1;Arma Branca;Interior de Residência;Término Relacionamento;44;34
07/08/2018;RIACHO FUNDO II;1;Arma de Fogo;Ruas, praças, estacionamentos;Término Relacionamento;44;51
06/08/2018;PLANO PILOTO;1;Agressão Física;Interior de Residência;Ciúme;37;44
05/08/2018;RECANTO DAS EMAS;1;Arma de Fogo;Interior de Residência;Término Relacionamento;58;61
14/07/2018;SANTA MARIA;1;Arma Branca;Ruas, praças, estacionamentos;Ciúme;30;21
06/06/2018;SAMAMBAIA;1;Arma Branca;Interior de Residência;Término Relacionamento;23;24
